str_id,time,mean,area_acres
06_01_tule_050m_2021,4/23/2021,0.124315765,2
06_02_tule_050m_2021,4/23/2021,0.123542961,2
26A_north_tule_050m_2022,4/23/2021,0.067063531,2
26A_mid_tule_050m_2022,4/23/2021,0.066974699,2
26A_south_tule_050m_2022,4/23/2021,0.065099494,2
06_EC_tower_050m_2021,4/23/2021,0.12466764,2
06_EC_tower_100m_2021,4/23/2021,0.126961048,8
06_EC_tower_200m_2021,4/23/2021,0.129612626,31
26A_EC_tower_050m_2022,4/23/2021,0.065358847,2
26A_EC_tower_100m_2022,4/23/2021,0.06528552,8
26A_EC_tower_200m_2022,4/23/2021,0.064525676,31
field_2021,4/23/2021,0.127663253,48
field_2022,4/23/2021,0.06697068,138
06_01_tule_050m_2021,4/24/2021,0.085850878,2
06_02_tule_050m_2021,4/24/2021,0.086826144,2
26A_north_tule_050m_2022,4/24/2021,0.056588617,2
26A_mid_tule_050m_2022,4/24/2021,0.055627534,2
26A_south_tule_050m_2022,4/24/2021,0.05429033,2
06_EC_tower_050m_2021,4/24/2021,0.086448626,2
06_EC_tower_100m_2021,4/24/2021,0.087302155,8
06_EC_tower_200m_2021,4/24/2021,0.089688341,31
26A_EC_tower_050m_2022,4/24/2021,0.054267651,2
26A_EC_tower_100m_2022,4/24/2021,0.054298331,8
26A_EC_tower_200m_2022,4/24/2021,0.053785436,31
field_2021,4/24/2021,0.089111968,48
field_2022,4/24/2021,0.055943511,138
06_01_tule_050m_2021,4/25/2021,0.070496768,2
06_02_tule_050m_2021,4/25/2021,0.072668613,2
26A_north_tule_050m_2022,4/25/2021,0.055061931,2
26A_mid_tule_050m_2022,4/25/2021,0.053349665,2
26A_south_tule_050m_2022,4/25/2021,0.052263486,2
06_EC_tower_050m_2021,4/25/2021,0.071309926,2
06_EC_tower_100m_2021,4/25/2021,0.071347301,8
06_EC_tower_200m_2021,4/25/2021,0.073811023,31
26A_EC_tower_050m_2022,4/25/2021,0.052029608,2
26A_EC_tower_100m_2022,4/25/2021,0.05214063,8
26A_EC_tower_200m_2022,4/25/2021,0.051754059,31
field_2021,4/25/2021,0.07403719,48
field_2022,4/25/2021,0.053937194,138
06_01_tule_050m_2021,4/26/2021,0.093858922,2
06_02_tule_050m_2021,4/26/2021,0.098781096,2
26A_north_tule_050m_2022,4/26/2021,0.060902606,2
26A_mid_tule_050m_2022,4/26/2021,0.058230017,2
26A_south_tule_050m_2022,4/26/2021,0.05724401,2
06_EC_tower_050m_2021,4/26/2021,0.09541894,2
06_EC_tower_100m_2021,4/26/2021,0.094485978,8
06_EC_tower_200m_2021,4/26/2021,0.098513077,31
26A_EC_tower_050m_2022,4/26/2021,0.056773083,2
26A_EC_tower_100m_2022,4/26/2021,0.056977214,8
26A_EC_tower_200m_2022,4/26/2021,0.056662353,31
field_2021,4/26/2021,0.099850166,48
field_2022,4/26/2021,0.059160514,138
06_01_tule_050m_2021,4/27/2021,0.116140551,2
06_02_tule_050m_2021,4/27/2021,0.125043254,2
26A_north_tule_050m_2022,4/27/2021,0.116088552,2
26A_mid_tule_050m_2022,4/27/2021,0.109643292,2
26A_south_tule_050m_2022,4/27/2021,0.108137506,2
06_EC_tower_050m_2021,4/27/2021,0.118732003,2
06_EC_tower_100m_2021,4/27/2021,0.116216661,8
06_EC_tower_200m_2021,4/27/2021,0.122234124,31
26A_EC_tower_050m_2022,4/27/2021,0.106871639,2
26A_EC_tower_100m_2022,4/27/2021,0.107401845,8
26A_EC_tower_200m_2022,4/27/2021,0.106997227,31
field_2021,4/27/2021,0.125323273,48
field_2022,4/27/2021,0.111903838,138
06_01_tule_050m_2021,4/28/2021,0.1073704,2
06_02_tule_050m_2021,4/28/2021,0.118529879,2
26A_north_tule_050m_2022,4/28/2021,0.131554109,2
26A_mid_tule_050m_2022,4/28/2021,0.122850897,2
26A_south_tule_050m_2022,4/28/2021,0.12153156,2
06_EC_tower_050m_2021,4/28/2021,0.110454768,2
06_EC_tower_100m_2021,4/28/2021,0.106711836,8
06_EC_tower_200m_2021,4/28/2021,0.113352296,31
26A_EC_tower_050m_2022,4/28/2021,0.119715654,2
26A_EC_tower_100m_2022,4/28/2021,0.120462651,8
26A_EC_tower_200m_2022,4/28/2021,0.120206676,31
field_2021,4/28/2021,0.117702516,48
field_2022,4/28/2021,0.125916917,138
06_01_tule_050m_2021,4/29/2021,0.112706336,2
06_02_tule_050m_2021,4/29/2021,0.127910901,2
26A_north_tule_050m_2022,4/29/2021,0.121171921,2
26A_mid_tule_050m_2022,4/29/2021,0.111972934,2
26A_south_tule_050m_2022,4/29/2021,0.111084833,2
06_EC_tower_050m_2021,4/29/2021,0.116764585,2
06_EC_tower_100m_2021,4/29/2021,0.111146392,8
06_EC_tower_200m_2021,4/29/2021,0.119400774,31
26A_EC_tower_050m_2022,4/29/2021,0.109089903,2
26A_EC_tower_100m_2022,4/29/2021,0.109901472,8
26A_EC_tower_200m_2022,4/29/2021,0.109836883,31
field_2021,4/29/2021,0.12574797,48
field_2022,4/29/2021,0.115223215,138
06_01_tule_050m_2021,4/30/2021,0.109933812,2
06_02_tule_050m_2021,4/30/2021,0.128662913,2
26A_north_tule_050m_2022,4/30/2021,0.111323086,2
26A_mid_tule_050m_2022,4/30/2021,0.10187131,2
26A_south_tule_050m_2022,4/30/2021,0.101332129,2
06_EC_tower_050m_2021,4/30/2021,0.114808763,2
06_EC_tower_100m_2021,4/30/2021,0.107442041,8
06_EC_tower_200m_2021,4/30/2021,0.116927379,31
26A_EC_tower_050m_2022,4/30/2021,0.099226654,2
26A_EC_tower_100m_2022,4/30/2021,0.100076757,8
26A_EC_tower_200m_2022,4/30/2021,0.100162238,31
field_2021,4/30/2021,0.125107408,48
field_2022,4/30/2021,0.10521799,138
06_01_tule_050m_2021,5/1/2021,0.108782742,2
06_02_tule_050m_2021,5/1/2021,0.126046521,2
26A_north_tule_050m_2022,5/1/2021,0.110379334,2
26A_mid_tule_050m_2022,5/1/2021,0.100091232,2
26A_south_tule_050m_2022,5/1/2021,0.099810114,2
06_EC_tower_050m_2021,5/1/2021,0.112740137,2
06_EC_tower_100m_2021,5/1/2021,0.106403395,8
06_EC_tower_200m_2021,5/1/2021,0.115219062,31
26A_EC_tower_050m_2022,5/1/2021,0.0974727,2
26A_EC_tower_100m_2022,5/1/2021,0.098411318,8
26A_EC_tower_200m_2022,5/1/2021,0.098628729,31
field_2021,5/1/2021,0.121776126,48
field_2022,5/1/2021,0.10372621,138
06_01_tule_050m_2021,5/2/2021,0.115692489,2
06_02_tule_050m_2021,5/2/2021,0.132677594,2
26A_north_tule_050m_2022,5/2/2021,0.178909197,2
26A_mid_tule_050m_2022,5/2/2021,0.160857176,2
26A_south_tule_050m_2022,5/2/2021,0.160782259,2
06_EC_tower_050m_2021,5/2/2021,0.118962352,2
06_EC_tower_100m_2021,5/2/2021,0.113255556,8
06_EC_tower_200m_2021,5/2/2021,0.122013181,31
26A_EC_tower_050m_2022,5/2/2021,0.15661847,2
26A_EC_tower_100m_2022,5/2/2021,0.158283607,8
26A_EC_tower_200m_2022,5/2/2021,0.158835244,31
field_2021,5/2/2021,0.127321,48
field_2022,5/2/2021,0.167224583,138
06_01_tule_050m_2021,5/3/2021,0.131872518,2
06_02_tule_050m_2021,5/3/2021,0.149635681,2
26A_north_tule_050m_2022,5/3/2021,0.214647052,2
26A_mid_tule_050m_2022,5/3/2021,0.191454499,2
26A_south_tule_050m_2022,5/3/2021,0.191789085,2
06_EC_tower_050m_2021,5/3/2021,0.134509134,2
06_EC_tower_100m_2021,5/3/2021,0.129203427,8
06_EC_tower_200m_2021,5/3/2021,0.13846802,31
26A_EC_tower_050m_2022,5/3/2021,0.186375296,2
26A_EC_tower_100m_2022,5/3/2021,0.188533336,8
26A_EC_tower_200m_2022,5/3/2021,0.189417293,31
field_2021,5/3/2021,0.142583371,48
field_2022,5/3/2021,0.199624078,138
06_01_tule_050m_2021,5/4/2021,0.105739555,2
06_02_tule_050m_2021,5/4/2021,0.118677224,2
26A_north_tule_050m_2022,5/4/2021,0.189876565,2
26A_mid_tule_050m_2022,5/4/2021,0.168095771,2
26A_south_tule_050m_2022,5/4/2021,0.168741558,2
06_EC_tower_050m_2021,5/4/2021,0.106962464,2
06_EC_tower_100m_2021,5/4/2021,0.10368819,8
06_EC_tower_200m_2021,5/4/2021,0.11053022,31
26A_EC_tower_050m_2022,5/4/2021,0.163607822,2
26A_EC_tower_100m_2022,5/4/2021,0.165648918,8
26A_EC_tower_200m_2022,5/4/2021,0.166613926,31
field_2021,5/4/2021,0.1122489,48
field_2022,5/4/2021,0.17575957,138
06_01_tule_050m_2021,5/5/2021,0.118585843,2
06_02_tule_050m_2021,5/5/2021,0.131602953,2
26A_north_tule_050m_2022,5/5/2021,0.171819675,2
26A_mid_tule_050m_2022,5/5/2021,0.151041401,2
26A_south_tule_050m_2022,5/5/2021,0.151921403,2
06_EC_tower_050m_2021,5/5/2021,0.118938472,2
06_EC_tower_100m_2021,5/5/2021,0.116386769,8
06_EC_tower_200m_2021,5/5/2021,0.123389411,31
26A_EC_tower_050m_2022,5/5/2021,0.146984568,2
26A_EC_tower_100m_2022,5/5/2021,0.148943191,8
26A_EC_tower_200m_2022,5/5/2021,0.149971138,31
field_2021,5/5/2021,0.12350931,48
field_2022,5/5/2021,0.158345698,138
06_01_tule_050m_2021,5/6/2021,0.111336556,2
06_02_tule_050m_2021,5/6/2021,0.122129383,2
26A_north_tule_050m_2022,5/6/2021,0.168276728,2
26A_mid_tule_050m_2022,5/6/2021,0.14694712,2
26A_south_tule_050m_2022,5/6/2021,0.148079985,2
06_EC_tower_050m_2021,5/6/2021,0.11069235,2
06_EC_tower_100m_2021,5/6/2021,0.109369087,8
06_EC_tower_200m_2021,5/6/2021,0.115301702,31
26A_EC_tower_050m_2022,5/6/2021,0.1429779,2
26A_EC_tower_100m_2022,5/6/2021,0.144998474,8
26A_EC_tower_200m_2022,5/6/2021,0.146147047,31
